"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1596","Авторизация пользователя с валидными данными","tests.ui","Sun Sep 07 08:56:51 GMT 2025","passed","Sun Sep 07 08:56:53 GMT 2025","TestAuth","test_auth_ui","",""
"","5","Авторизация с не валидным значением type","tests.api.auth","Sun Sep 07 08:56:48 GMT 2025","passed","Sun Sep 07 08:56:48 GMT 2025","TestAuth","test_auth_api","",""
"","124","Получить список всех пользователей без фильтра","tests.api.users","Sun Sep 07 08:56:49 GMT 2025","passed","Sun Sep 07 08:56:49 GMT 2025","TestGetUsers","test_get_users_list","",""
"","0","Регистрация пользователя с паролем из 6 знаков","tests.ui","Sun Sep 07 08:56:53 GMT 2025","broken","Sun Sep 07 08:56:53 GMT 2025","TestRegister","test_register_ui","",""
"","37","Авторизация пользователя с не валидными данными","tests.api.auth","Sun Sep 07 08:56:48 GMT 2025","passed","Sun Sep 07 08:56:48 GMT 2025","TestAuth","test_auth_api","",""
"","124","Получить пользователя по id","tests.api.users","Sun Sep 07 08:56:49 GMT 2025","passed","Sun Sep 07 08:56:49 GMT 2025","TestGetUsers","test_get_users_list","",""
"","0","Регистрация пользователя с недопустимыми символами в поле username","tests.ui","Sun Sep 07 08:56:53 GMT 2025","broken","Sun Sep 07 08:56:53 GMT 2025","TestRegister","test_register_ui","",""
"","111","Обновление действующего токена","tests.api.auth","Sun Sep 07 08:56:48 GMT 2025","skipped","Sun Sep 07 08:56:49 GMT 2025","TestAuth","test_auth_api","",""
"","411","Регистрация пользователя с валидными данными","tests.api.auth","Sun Sep 07 08:56:49 GMT 2025","passed","Sun Sep 07 08:56:49 GMT 2025","TestRegistry","test_user_registry_api","",""
"","114","Авторизация через email","tests.api.auth","Sun Sep 07 08:56:48 GMT 2025","passed","Sun Sep 07 08:56:48 GMT 2025","TestAuth","test_auth_api","",""
"","0","Регистрация пользователя с паролем из 5 знаков","tests.ui","Sun Sep 07 08:56:53 GMT 2025","broken","Sun Sep 07 08:56:53 GMT 2025","TestRegister","test_register_ui","",""
"","115","Авторизация через username","tests.api.auth","Sun Sep 07 08:56:48 GMT 2025","passed","Sun Sep 07 08:56:48 GMT 2025","TestAuth","test_auth_api","",""
"","106","Получить пользователя с не валидным id","tests.api.users","Sun Sep 07 08:56:49 GMT 2025","passed","Sun Sep 07 08:56:49 GMT 2025","TestGetUsers","test_get_users_list","",""
